timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741721701138,1420,Friend Request,200,OK,Thread Group 1-2,text,true,,70938,556,9,9,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,334,0,77
1741721701138,334,Friend Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,505,121,9,9,https://facebook.com/friends,334,0,77
1741721701472,381,Friend Request-1,302,Found,Thread Group 1-2,text,true,,884,125,9,9,https://www.facebook.com/friends,381,0,115
1741721701854,351,Friend Request-2,302,Found,Thread Group 1-2,text,true,,2033,137,9,9,https://web.facebook.com/friends?_rdc=1&_rdr,351,0,82
1741721702205,353,Friend Request-3,200,OK,Thread Group 1-2,text,true,,67516,173,9,9,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,331,0,0
1741721700922,1676,Friend Request,200,OK,Thread Group 1-1,text,true,,70908,556,9,9,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,543,0,154
1741721700922,543,Friend Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,505,121,9,9,https://facebook.com/friends,543,0,154
1741721701465,378,Friend Request-1,302,Found,Thread Group 1-1,text,true,,884,125,9,9,https://www.facebook.com/friends,378,0,123
1741721701844,369,Friend Request-2,302,Found,Thread Group 1-1,text,true,,2009,137,9,9,https://web.facebook.com/friends?_rdc=1&_rdr,369,0,96
1741721702213,385,Friend Request-3,200,OK,Thread Group 1-1,text,true,,67510,173,9,9,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,364,0,0
1741721701344,1499,Friend Request,200,OK,Thread Group 1-3,text,true,,72926,556,10,10,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,434,0,69
1741721701344,434,Friend Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,505,121,10,10,https://facebook.com/friends,434,0,69
1741721701779,341,Friend Request-1,302,Found,Thread Group 1-3,text,true,,884,125,10,10,https://www.facebook.com/friends,341,0,77
1741721702120,364,Friend Request-2,302,Found,Thread Group 1-3,text,true,,4029,137,10,10,https://web.facebook.com/friends?_rdc=1&_rdr,364,0,63
1741721702484,359,Friend Request-3,200,OK,Thread Group 1-3,text,true,,67508,173,10,10,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,332,0,0
1741721701552,1533,Friend Request,200,OK,Thread Group 1-4,text,true,,70907,556,11,11,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,369,0,67
1741721701552,369,Friend Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,505,121,11,11,https://facebook.com/friends,369,0,67
1741721701922,349,Friend Request-1,302,Found,Thread Group 1-4,text,true,,884,125,11,11,https://www.facebook.com/friends,349,0,69
1741721702272,381,Friend Request-2,302,Found,Thread Group 1-4,text,true,,2009,137,11,11,https://web.facebook.com/friends?_rdc=1&_rdr,381,0,92
1741721702653,432,Friend Request-3,200,OK,Thread Group 1-4,text,true,,67509,173,11,11,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,410,0,0
1741721701743,1525,Friend Request,200,OK,Thread Group 1-5,text,true,,70937,556,12,12,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,383,0,108
1741721701743,383,Friend Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,505,121,12,12,https://facebook.com/friends,383,0,108
1741721702126,355,Friend Request-1,302,Found,Thread Group 1-5,text,true,,908,125,12,12,https://www.facebook.com/friends,355,0,79
1741721702481,361,Friend Request-2,302,Found,Thread Group 1-5,text,true,,2009,137,12,12,https://web.facebook.com/friends?_rdc=1&_rdr,361,0,69
1741721702842,426,Friend Request-3,200,OK,Thread Group 1-5,text,true,,67515,173,12,12,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,379,0,0
1741721701956,1536,Friend Request,200,OK,Thread Group 1-6,text,true,,73262,556,13,13,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,362,0,78
1741721701956,362,Friend Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,505,121,13,13,https://facebook.com/friends,362,0,78
1741721702319,378,Friend Request-1,302,Found,Thread Group 1-6,text,true,,908,125,13,13,https://www.facebook.com/friends,378,0,103
1741721702698,409,Friend Request-2,302,Found,Thread Group 1-6,text,true,,4053,137,13,13,https://web.facebook.com/friends?_rdc=1&_rdr,409,0,61
1741721703107,385,Friend Request-3,200,OK,Thread Group 1-6,text,true,,67796,173,13,13,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,353,0,0
1741721702598,1043,Facebook Groups,200,OK,Thread Group 1-1,text,true,,82750,398,14,14,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,274,0,0
1741721702598,274,Facebook Groups-0,301,Moved Permanently,Thread Group 1-1,text,true,,510,126,14,14,https://facebook.com/groups/feed/,274,0,0
1741721702872,260,Facebook Groups-1,302,Found,Thread Group 1-1,text,true,,913,130,14,14,https://www.facebook.com/groups/feed/,260,0,0
1741721703132,509,Facebook Groups-2,200,OK,Thread Group 1-1,text,true,,81327,142,14,14,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,464,0,0
1741721702559,1115,Facebook Groups,200,OK,Thread Group 1-2,text,true,,82983,398,14,14,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,307,0,0
1741721702559,307,Facebook Groups-0,301,Moved Permanently,Thread Group 1-2,text,true,,510,126,14,14,https://facebook.com/groups/feed/,307,0,0
1741721702866,281,Facebook Groups-1,302,Found,Thread Group 1-2,text,true,,1174,130,14,14,https://www.facebook.com/groups/feed/,281,0,0
1741721703147,527,Facebook Groups-2,200,OK,Thread Group 1-2,text,true,,81299,142,14,14,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,497,0,0
1741721702137,1585,Friend Request,200,OK,Thread Group 1-7,text,true,,73489,556,14,14,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,350,0,78
1741721702137,350,Friend Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,505,121,14,14,https://facebook.com/friends,350,0,78
1741721702488,382,Friend Request-1,302,Found,Thread Group 1-7,text,true,,1169,125,14,14,https://www.facebook.com/friends,382,0,96
1741721702871,417,Friend Request-2,302,Found,Thread Group 1-7,text,true,,4029,137,14,14,https://web.facebook.com/friends?_rdc=1&_rdr,417,0,75
1741721703288,434,Friend Request-3,200,OK,Thread Group 1-7,text,true,,67786,173,14,14,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,407,0,0
1741721702330,1457,Friend Request,200,OK,Thread Group 1-8,text,true,,72958,556,15,15,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,353,0,92
1741721702330,353,Friend Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,505,121,15,15,https://facebook.com/friends,353,0,92
1741721702684,346,Friend Request-1,302,Found,Thread Group 1-8,text,true,,908,125,15,15,https://www.facebook.com/friends,346,0,69
1741721703030,374,Friend Request-2,302,Found,Thread Group 1-8,text,true,,4029,137,15,15,https://web.facebook.com/friends?_rdc=1&_rdr,374,0,76
1741721703404,383,Friend Request-3,200,OK,Thread Group 1-8,text,true,,67516,173,15,15,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,359,0,0
1741721702844,1080,Facebook Groups,200,OK,Thread Group 1-3,text,true,,82711,398,15,15,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,271,0,0
1741721702844,271,Facebook Groups-0,301,Moved Permanently,Thread Group 1-3,text,true,,510,126,15,15,https://facebook.com/groups/feed/,271,0,0
1741721703115,263,Facebook Groups-1,302,Found,Thread Group 1-3,text,true,,889,130,15,15,https://www.facebook.com/groups/feed/,263,0,0
1741721703378,546,Facebook Groups-2,200,OK,Thread Group 1-3,text,true,,81312,142,15,15,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,479,0,0
1741721702536,1461,Friend Request,200,OK,Thread Group 1-9,text,true,,70929,556,16,16,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,341,0,72
1741721702536,341,Friend Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,505,121,16,16,https://facebook.com/friends,341,0,72
1741721702878,387,Friend Request-1,302,Found,Thread Group 1-9,text,true,,884,125,16,16,https://www.facebook.com/friends,387,0,67
1741721703265,365,Friend Request-2,302,Found,Thread Group 1-9,text,true,,2009,137,16,16,https://web.facebook.com/friends?_rdc=1&_rdr,365,0,77
1741721703630,367,Friend Request-3,200,OK,Thread Group 1-9,text,true,,67531,173,16,16,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,348,0,0
1741721703086,1099,Facebook Groups,200,OK,Thread Group 1-4,text,true,,82691,398,17,17,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,268,0,0
